AÑO,MES,PROVINCIA_DESTINO,CONTINENTE_ORIGEN,PAIS_ORIGEN,TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA.
2022,10,Girona,América,Argentina,300,2550,8.5
2022,10,Granada,América,Argentina,301,2077,6.9
2022,10,Guadalajara,América,Argentina,34,235,6.9
2022,10,Huelva,América,Argentina,34,381,11.2
2022,10,Huesca,América,Argentina,35,287,8.2
2022,10,Illes Balears,América,Argentina,1373,14279,10.4
2022,10,Las Palmas,América,Argentina,237,2133,9
2022,10,León,América,Argentina,30,291,9.7
2022,10,Lleida,América,Argentina,92,672,7.3
2022,10,Lugo,América,Argentina,68,694,10.2
2022,10,Madrid,América,Argentina,16054,102746,6.4
2022,10,Murcia,América,Argentina,72,691,9.6
2022,10,Málaga,América,Argentina,1217,13022,10.7
2022,10,Navarra,América,Argentina,77,747,9.7
2022,10,Ourense,América,Argentina,49,544,11.1
2022,10,Pontevedra,América,Argentina,251,2510,10
2022,10,Salamanca,América,Argentina,60,462,7.7
2022,10,Santa Cruz de Tenerife,América,Argentina,221,1989,9
2022,10,Segovia,América,Argentina,35,200,5.7
2022,10,Sevilla,América,Argentina,415,3735,9
2022,10,Tarragona,América,Argentina,263,2209,8.4
2022,10,Toledo,América,Argentina,117,655,5.6
2022,10,Total Nacional,América,Argentina,31169,231988,7.4
2022,10,Valencia/València,América,Argentina,848,8565,10.1
2022,10,Valladolid,América,Argentina,31,239,7.7
2022,10,Zaragoza,América,Argentina,84,706,8.4
2022,11,A Coruña,América,Argentina,234,2668,11.4
2022,11,Alicante/Alacant,América,Argentina,671,7113,10.6
2022,11,Almería,América,Argentina,108,1069,9.9
2022,11,Asturias,América,Argentina,152,1566,10.3
2022,11,Badajoz,América,Argentina,49,338,6.9
2022,11,Barcelona,América,Argentina,5988,40718,6.8
2022,11,Bizkaia,América,Argentina,132,1122,8.5
2022,11,Burgos,América,Argentina,46,294,6.4
2022,11,Cantabria,América,Argentina,72,677,9.4
2022,11,Castellón/Castelló,América,Argentina,71,476,6.7
2022,11,Ciudad Real,América,Argentina,35,182,5.2
2022,11,Cuenca,América,Argentina,44,286,6.5
2022,11,Cádiz,América,Argentina,321,1894,5.9
2022,11,Córdoba,América,Argentina,76,623,8.2
2022,11,Gipuzkoa,América,Argentina,156,1154,7.4
2022,11,Girona,América,Argentina,237,2133,9
2022,11,Granada,América,Argentina,274,2466,9
2022,11,Guadalajara,América,Argentina,47,291,6.2
2022,11,Huesca,América,Argentina,64,570,8.9
2022,11,Illes Balears,América,Argentina,687,7145,10.4
2022,11,La Rioja,América,Argentina,43,503,11.7
2022,11,Las Palmas,América,Argentina,265,2120,8
